universe,universe_name,symbol,security_id,exchange_segment,instrument_type,company_name,series,source,mapping_status,source_symbol
hemant_good_200,Hemant Good 200,RRKABEL,18566,NSE_EQ,EQUITY,RR Kabel,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,RRKABEL
hemant_good_200,Hemant Good 200,CLEAN,5049,NSE_EQ,EQUITY,Clean Science & Technology,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,CLEAN
hemant_good_200,Hemant Good 200,VGUARD,15362,NSE_EQ,EQUITY,V-Guard Industries,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,VGUARD
hemant_good_200,Hemant Good 200,BEML,395,NSE_EQ,EQUITY,BEML,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,BEML
hemant_good_200,Hemant Good 200,INGERRAND,1597,NSE_EQ,EQUITY,Ingersoll Rand,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,INGERRAND
hemant_good_200,Hemant Good 200,VESUVIUS,3676,NSE_EQ,EQUITY,Vesuvius,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,VESUVIUS
hemant_good_200,Hemant Good 200,HAPPYFORGE,20854,NSE_EQ,EQUITY,Happy Forgings,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,HAPPYFORGE
hemant_good_200,Hemant Good 200,KPIGREEN,5108,NSE_EQ,EQUITY,KPI Green Energy,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,KPIGREEN
hemant_good_200,Hemant Good 200,INTELLECT,5926,NSE_EQ,EQUITY,Intellect Design Arena,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,INTELLECT
hemant_good_200,Hemant Good 200,FDC,4898,NSE_EQ,EQUITY,FDC,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,FDC
hemant_good_200,Hemant Good 200,LGBBROSLTD,18321,NSE_EQ,EQUITY,LG Balakrishnan & Bros,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,LGBBROSLTD
hemant_good_200,Hemant Good 200,SUVENPHAR,,,,,,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,missing_security_id,SUVENPHAR
hemant_good_200,Hemant Good 200,RAILTEL,2431,NSE_EQ,EQUITY,Railtel Corporation of India,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,RAILTEL
hemant_good_200,Hemant Good 200,BIKAJI,11966,NSE_EQ,EQUITY,Bikaji Foods International,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,BIKAJI
hemant_good_200,Hemant Good 200,DHANUKA,24409,NSE_EQ,EQUITY,Dhanuka Agritech,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,DHANUKA
hemant_good_200,Hemant Good 200,TITAGARH,15414,NSE_EQ,EQUITY,Titagarh Rail Systems,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,TITAGARH
hemant_good_200,Hemant Good 200,SATIN,10453,NSE_EQ,EQUITY,Satin Creditcare,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,SATIN
hemant_good_200,Hemant Good 200,NEWGEN,1164,NSE_EQ,EQUITY,Newgen Software Technologies,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,NEWGEN
hemant_good_200,Hemant Good 200,MASFIN,199,NSE_EQ,EQUITY,MAS Financial Services,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,MASFIN
hemant_good_200,Hemant Good 200,MUTHOOTMF,20831,NSE_EQ,EQUITY,Muthoot Microfin,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,MUTHOOTMF
hemant_good_200,Hemant Good 200,ANANDRATHI,7145,NSE_EQ,EQUITY,Anand Rathi Wealth,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,ANANDRATHI
hemant_good_200,Hemant Good 200,KSCL,14972,NSE_EQ,EQUITY,Kaveri Seed Company,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,KSCL
hemant_good_200,Hemant Good 200,GALAXYSURF,1315,NSE_EQ,EQUITY,Galaxy Surfactants,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,GALAXYSURF
hemant_good_200,Hemant Good 200,JYOTICNC,21334,NSE_EQ,EQUITY,Jyoti CNC Automation,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,JYOTICNC
hemant_good_200,Hemant Good 200,GAEL,8828,NSE_EQ,EQUITY,Gujarat Ambuja Exports,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,GAEL
hemant_good_200,Hemant Good 200,POLYMED,25718,NSE_EQ,EQUITY,Poly Medicure,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,POLYMED
hemant_good_200,Hemant Good 200,SHARDAMOTR,10530,NSE_EQ,EQUITY,Sharda Motor,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,SHARDAMOTR
hemant_good_200,Hemant Good 200,TECHNOE,6445,NSE_EQ,EQUITY,Techno Electric & Engineering,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,TECHNOE
hemant_good_200,Hemant Good 200,KFINTECH,13359,NSE_EQ,EQUITY,KFin Technologies,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,KFINTECH
hemant_good_200,Hemant Good 200,VOLTAMP,13577,NSE_EQ,EQUITY,Voltamp Transformers,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,VOLTAMP
hemant_good_200,Hemant Good 200,SURYAROSNI,3375,NSE_EQ,EQUITY,Surya Roshni,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,SURYAROSNI
hemant_good_200,Hemant Good 200,CONCORDBIO,18060,NSE_EQ,EQUITY,Concord Biotech,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,CONCORDBIO
hemant_good_200,Hemant Good 200,HBLENGINE,13966,NSE_EQ,EQUITY,HBL Engineering,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,HBLENGINE
hemant_good_200,Hemant Good 200,TRITURBINE,25584,NSE_EQ,EQUITY,Triveni Turbines,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,TRITURBINE
hemant_good_200,Hemant Good 200,CELLO,19795,NSE_EQ,EQUITY,Cello World,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,CELLO
hemant_good_200,Hemant Good 200,ROUTE,128,NSE_EQ,EQUITY,Route Mobile,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,ROUTE
hemant_good_200,Hemant Good 200,NORTHARC,25426,NSE_EQ,EQUITY,Northern Arc Capital,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,NORTHARC
hemant_good_200,Hemant Good 200,KAJARIACER,1808,NSE_EQ,EQUITY,Kajaria Ceramics,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,KAJARIACER
hemant_good_200,Hemant Good 200,MOIL,20830,NSE_EQ,EQUITY,MOIL,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,MOIL
hemant_good_200,Hemant Good 200,HOMEFIRST,2056,NSE_EQ,EQUITY,Home First Finance Company,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,HOMEFIRST
hemant_good_200,Hemant Good 200,SANOFI,1442,NSE_EQ,EQUITY,Sanofi,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,SANOFI
hemant_good_200,Hemant Good 200,AFFLE,11343,NSE_EQ,EQUITY,Affle 3i,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,AFFLE
hemant_good_200,Hemant Good 200,CMSINFO,7603,NSE_EQ,EQUITY,CMS Info Systems,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,CMSINFO
hemant_good_200,Hemant Good 200,MARKSANS,10579,NSE_EQ,EQUITY,Marksans Pharma,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,MARKSANS
hemant_good_200,Hemant Good 200,GRINDWELL,13560,NSE_EQ,EQUITY,Grindwell Norton,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,GRINDWELL
hemant_good_200,Hemant Good 200,JYOTHYLAB,15146,NSE_EQ,EQUITY,Jyothy Laboratories,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,JYOTHYLAB
hemant_good_200,Hemant Good 200,ELECON,13643,NSE_EQ,EQUITY,Elecon Engineering Company,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,ELECON
hemant_good_200,Hemant Good 200,RITES,3761,NSE_EQ,EQUITY,RITES,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,RITES
hemant_good_200,Hemant Good 200,JWL,20224,NSE_EQ,EQUITY,Jupiter Wagons,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,JWL
hemant_good_200,Hemant Good 200,WSTCSTPAPR,3799,NSE_EQ,EQUITY,West Coast Paper Mills,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,WSTCSTPAPR
hemant_good_200,Hemant Good 200,SHAKTIPUMP,25574,NSE_EQ,EQUITY,Shakti Pumps,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,SHAKTIPUMP
hemant_good_200,Hemant Good 200,ACE,13587,NSE_EQ,EQUITY,Action Construction Equipment,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,ACE
hemant_good_200,Hemant Good 200,GPPL,19731,NSE_EQ,EQUITY,Gujarat Pipavav Port,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_200.csv,mapped,GPPL
