universe,universe_name,symbol,security_id,exchange_segment,instrument_type,company_name,series,source,mapping_status,source_symbol
hemant_super_45,Hemant Super 45,HDFCBANK,1333,NSE_EQ,EQUITY,HDFC Bank,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,HDFCBANK
hemant_super_45,Hemant Super 45,ICICIBANK,4963,NSE_EQ,EQUITY,ICICI Bank,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,ICICIBANK
hemant_super_45,Hemant Super 45,AXISBANK,5900,NSE_EQ,EQUITY,Axis Bank,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,AXISBANK
hemant_super_45,Hemant Super 45,KOTAKBANK,1922,NSE_EQ,EQUITY,Kotak Bank,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,KOTAKBANK
hemant_super_45,Hemant Super 45,BAJFINANCE,317,NSE_EQ,EQUITY,Bajaj Finance,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,BAJFINANCE
hemant_super_45,Hemant Super 45,ICICIGI,21770,NSE_EQ,EQUITY,ICICI Lombard General Insurance,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,ICICIGI
hemant_super_45,Hemant Super 45,HDFCLIFE,467,NSE_EQ,EQUITY,HDFC Life Insurance,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,HDFCLIFE
hemant_super_45,Hemant Super 45,BAJAJFINSV,16675,NSE_EQ,EQUITY,Bajaj Finserv,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,BAJAJFINSV
hemant_super_45,Hemant Super 45,ICICIPRULI,18652,NSE_EQ,EQUITY,ICICI Prudential Life Insurance,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,ICICIPRULI
hemant_super_45,Hemant Super 45,HDFCAMC,4244,NSE_EQ,EQUITY,HDFC AMC,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,HDFCAMC
