universe,universe_name,symbol,security_id,exchange_segment,instrument_type,company_name,series,source,mapping_status,source_symbol
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,HDFCBANK,1333,NSE_EQ,EQUITY,HDFC Bank,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,HDFCBANK
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,ICICIBANK,4963,NSE_EQ,EQUITY,ICICI Bank,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,ICICIBANK
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,AXISBANK,5900,NSE_EQ,EQUITY,Axis Bank,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,AXISBANK
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,KOTAKBANK,1922,NSE_EQ,EQUITY,Kotak Bank,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,KOTAKBANK
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,BAJFINANCE,317,NSE_EQ,EQUITY,Bajaj Finance,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,BAJFINANCE
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,ICICIGI,21770,NSE_EQ,EQUITY,ICICI Lombard General Insurance,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,ICICIGI
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,HDFCLIFE,467,NSE_EQ,EQUITY,HDFC Life Insurance,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,HDFCLIFE
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,BAJAJFINSV,16675,NSE_EQ,EQUITY,Bajaj Finserv,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,BAJAJFINSV
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,ICICIPRULI,18652,NSE_EQ,EQUITY,ICICI Prudential Life Insurance,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,ICICIPRULI
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,HDFCAMC,4244,NSE_EQ,EQUITY,HDFC AMC,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,HDFCAMC
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,NAM-INDIA,357,NSE_EQ,EQUITY,Nippon Life India AMC,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,NAM_INDIA
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,PGHH,2535,NSE_EQ,EQUITY,P&G Hygiene and Health Care,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,PGHH
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,MARICO,4067,NSE_EQ,EQUITY,Marico,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,MARICO
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,COLPAL,15141,NSE_EQ,EQUITY,Colgate Palmolive,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,COLPAL
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,HINDUNILVR,1394,NSE_EQ,EQUITY,Hindustan Unilever,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,HINDUNILVR
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,BAJAJHLDNG,305,NSE_EQ,EQUITY,Bajaj Holdings & Investments,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,BAJAJHLDNG
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,DABUR,772,NSE_EQ,EQUITY,Dabur India,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,DABUR
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,NESTLEIND,17963,NSE_EQ,EQUITY,Nestle,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,NESTLEIND
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,ITC,1660,NSE_EQ,EQUITY,ITC,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,ITC
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,ASIANPAINT,236,NSE_EQ,EQUITY,Asian Paints,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,ASIANPAINT
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,BERGEPAINT,404,NSE_EQ,EQUITY,Berger Paints,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,BERGEPAINT
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,KANSAINER,1196,NSE_EQ,EQUITY,Kansai Nerolac Paints,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,KANSAINER
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,AKZOINDIA,,,,,,hemant_super_45 + hemant_good_45 + hemant_good_200,missing_security_id,AKZOINDIA
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,TITAN,3506,NSE_EQ,EQUITY,Titan,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,TITAN
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,BATAINDIA,371,NSE_EQ,EQUITY,Bata,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,BATAINDIA
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,PAGEIND,14413,NSE_EQ,EQUITY,Page Industries,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,PAGEIND
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,WHIRLPOOL,18011,NSE_EQ,EQUITY,Whirlpool,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,WHIRLPOOL
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,HAVELLS,9819,NSE_EQ,EQUITY,Havells,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,HAVELLS
